full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,138711,138711,20714,292,292,82,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,48395,48395,7805,60,60,8,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8404,8404,14051,7,7,9,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,36578,36578,2879,28,28,1,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,994,994,1969,2,2,2,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31526,31526,2490,14,14,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24147,24147,2374,4,4,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,31943,31943,2905,56,56,14,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,610,610,926,5,5,9,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2750,2750,3537,3,3,6,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2011,2011,3312,5,5,9,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16271,16271,1839,8,8,2,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6888,6888,1666,1,1,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8258,8258,1525,4,4,1,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9415,9415,1204,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,8146,8146,1228,3,3,4,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8434,8434,626,1,1,1,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,718,718,1680,2,2,0,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7149,7149,499,2,2,0,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5715,5715,511,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,840,840,1647,0,0,3,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3766,3766,553,0,0,0,https://github.com/OneRedOak/claude-code-workflows
chauncygu/collection-claude-code-source-code,1510,1510,1788,25,25,10,https://github.com/chauncygu/collection-claude-code-source-code
huangserva/claude-code-cli,511,511,1224,4,4,4,https://github.com/huangserva/claude-code-cli
liuup/claude-code-analysis,911,911,911,7,7,3,https://github.com/liuup/claude-code-analysis
leaked-claude-code/leaked-claude-code,774,774,975,2,2,3,https://github.com/leaked-claude-code/leaked-claude-code
qwibitai/nanoclaw,26523,26523,10644,13,13,12,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3373,3373,444,1,1,0,https://github.com/1rgs/claude-code-proxy
sickn33/antigravity-awesome-skills,30721,30721,5131,38,38,4,https://github.com/sickn33/antigravity-awesome-skills
777genius/claude-code-source-code,871,871,1126,0,0,1,https://github.com/777genius/claude-code-source-code
anthropics/skills,110707,110707,12500,67,67,11,https://github.com/anthropics/skills
lintsinghua/claude-code-book,2030,2030,515,26,26,4,https://github.com/lintsinghua/claude-code-book
disler/claude-code-hooks-mastery,3471,3471,592,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3847,3847,361,4,4,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7350,7350,364,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
kodu-ai/claude-coder,5282,5282,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2335,2335,400,-1,-1,0,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,186,186,281,1,1,2,https://github.com/zstmfhy/Claude-code
fuergaosi233/claude-code-proxy,2339,2339,330,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4126,4126,360,0,0,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2347,2347,314,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2916,2916,420,3,3,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
lorryjovens-hub/claude-code-rust,1076,1076,423,9,9,3,https://github.com/lorryjovens-hub/claude-code-rust
Cranot/claude-code-guide,2567,2567,283,0,0,0,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,356,356,606,0,0,1,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,782,782,598,-1,-1,0,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2286,2286,261,2,2,1,https://github.com/ding113/claude-code-hub
Windy3f3f3f3f/how-claude-code-works,1468,1468,440,7,7,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
fazxes/Claude-code,187,187,194,2,2,0,https://github.com/fazxes/Claude-code
router-for-me/CLIProxyAPI,23152,23152,3872,44,44,6,https://github.com/router-for-me/CLIProxyAPI
wanshuiyin/Auto-claude-code-research-in-sleep,5510,5510,476,15,15,5,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Alishahryar1/free-claude-code,1591,1591,263,7,7,3,https://github.com/Alishahryar1/free-claude-code
obra/superpowers,135555,135555,11351,157,157,14,https://github.com/obra/superpowers
https-deeplearning-ai/sc-claude-code-files,474,474,645,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1382,1382,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,14417,14417,1470,8,8,1,https://github.com/snarktank/ralph
Pimzino/claude-code-spec-workflow,3616,3616,255,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,1,1,0,https://github.com/guanshan/ClaudeCode
Kuberwastaken/claurst,8113,8113,7522,21,21,2,https://github.com/Kuberwastaken/claurst
wshobson/agents,32968,32968,3595,6,6,0,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,26406,26406,2468,5,5,-1,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-plugins-official,16010,16010,1787,7,7,0,https://github.com/anthropics/claude-plugins-official
ghuntley/claude-code-source-code-deobfuscation,963,963,551,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
luyao618/Claude-Code-Source-Study,903,903,403,12,12,5,https://github.com/luyao618/Claude-Code-Source-Study
