full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,139072,139072,20793,361,361,79,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,48448,48448,7812,53,53,7,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8417,8417,14068,13,13,17,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,36605,36605,2884,27,27,5,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1004,1004,1972,10,10,3,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31540,31540,2490,14,14,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24150,24150,2375,3,3,1,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32000,32000,2911,57,57,6,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,615,615,935,5,5,9,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2753,2753,3544,3,3,7,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2017,2017,3321,6,6,9,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16281,16281,1839,10,10,0,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6889,6889,1667,1,1,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8264,8264,1525,6,6,0,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9415,9415,1204,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,8155,8155,1229,9,9,1,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8443,8443,626,9,9,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,720,720,1681,2,2,1,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7152,7152,499,3,3,0,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5716,5716,511,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,841,841,1648,1,1,1,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3766,3766,553,0,0,0,https://github.com/OneRedOak/claude-code-workflows
chauncygu/collection-claude-code-source-code,1521,1521,1800,11,11,12,https://github.com/chauncygu/collection-claude-code-source-code
